"subject" "activity" "TimeDomainBodyAccMagMean" "TimeDomainBodyAccMagSTD" "TimeDomainGravityAccMagMean" "TimeDomainGravityAccMagSTD" "TimeDomainBodyAccJerkMagMean" "TimeDomainBodyAccJerkMagSTD" "TimeDomainBodyGyroMagMean" "TimeDomainBodyGyroMagSTD" "TimeDomainBodyGyroJerkMagMean" "TimeDomainBodyGyroJerkMagSTD" "FreqDomainBodyAccMagMean" "FreqDomainBodyAccMagSTD" "FreqDomainBodyAccJerkMagMean" "FreqDomainBodyAccJerkMagSTD" "FreqDomainBodyGyroMagMean" "FreqDomainBodyGyroMagSTD" "FreqDomainBodyGyroJerkMagMean" "FreqDomainBodyGyroJerkMagSTD" "TimeDomainBodyAccMean" "TimeDomainBodyAccSTD" "TimeDomainGravityAccMean" "TimeDomainGravityAccSTD" "TimeDomainBodyAccJerkMean" "TimeDomainBodyAccJerkSTD" "TimeDomainBodyGyroMean" "TimeDomainBodyGyroSTD" "TimeDomainBodyGyroJerkMean" "TimeDomainBodyGyroJerkSTD" "FreqDomainBodyAccMean" "FreqDomainBodyAccSTD" "FreqDomainBodyAccJerkMean" "FreqDomainBodyAccJerkSTD" "FreqDomainBodyGyroMean" "FreqDomainBodyGyroSTD"
1 "LAYING" -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676 0.0226269123102 -0.863648425482667 0.300828564993333 -0.885638771793333 0.0319196581899333 -0.945828832133333 0.0225500727313333 -0.910972990206667 -0.074279452394 -0.948101974666667 -0.896277044593333 -0.856984850046667 -0.942532465933333 -0.9523218554 -0.903914463462 -0.916703669466667
1 "SITTING" -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.947782922553192 -0.928444801702128 -0.985262126808511 -0.981606177446808 -0.958435589361702 -0.932198374893617 -0.989797547234043 -0.987049617234043 0.0517950318395035 -0.946477980425532 0.455988409617021 -0.951005044964539 0.0244985416073759 -0.985237827021277 -0.0247809434191489 -0.961703699787234 -0.0601979400496454 -0.989728489007092 -0.960970226099291 -0.942718959219858 -0.984743193971631 -0.986115362978723 -0.967771864609929 -0.961389036879433
1 "STANDING" -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.985356361132075 -0.982313804716981 -0.99254247754717 -0.992536003396226 -0.984617623396226 -0.978466072075472 -0.994815376981132 -0.994671123207547 0.0507260737389937 -0.98290861163522 0.227819583478616 -0.983771002201258 0.0265557118692075 -0.990834817358491 -0.00286140159301887 -0.985190671194969 -0.0642075157899371 -0.993397163836478 -0.985872626352201 -0.982086235597484 -0.990267222641509 -0.991480601383648 -0.98538145490566 -0.985650062138365
1 "WALKING" -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474 0.0495996122207018 -0.143102274768421 0.194985105403509 -0.965210943368421 0.0327151122421053 -0.183104296731228 -0.00880539747778947 -0.290803294675965 -0.0586571142729825 -0.305381939340351 -0.148213899237895 -0.180927154742561 -0.224923904431407 -0.187186729870456 -0.232677517955439 -0.328920775332982
1 "WALKING_DOWNSTAIRS" 0.0271882914106122 0.0198843506265306 0.0271882914106122 0.0198843506265306 -0.0894474807979592 -0.0257877197081633 -0.0757412543673469 -0.225724368061224 -0.295463843346939 -0.306510645530612 0.0965845343040816 -0.186530301073469 0.0262184949326531 -0.104052260726531 -0.185720285744898 -0.398350390122449 -0.281963359177551 -0.391919876612245 0.057234541629932 -0.0774449394348912 0.201048040468707 -0.927839388571429 0.024277930837415 -0.153206761170748 -0.0119767683721088 -0.236360730706803 -0.04833186269 -0.331537883339456 -0.0619317935689796 -0.128853598502721 -0.14822192032517 -0.207543123267823 -0.146673770343537 -0.305093593355102
1 "WALKING_UPSTAIRS" -0.129927630735849 -0.324970929245283 -0.129927630735849 -0.324970929245283 -0.466503446226415 -0.478991622075472 -0.126735589969811 -0.14861931805283 -0.59488286509434 -0.648553044339623 -0.352395944716981 -0.416260101509434 -0.44265216245283 -0.533059853773585 -0.325961457396226 -0.182985518264151 -0.634665082075472 -0.693930521509434 0.0447355127546541 -0.12550250965283 0.15193159781761 -0.940531890503145 0.0250988308767296 -0.51057061490566 -0.019087029645283 -0.349311531878616 -0.0683646364092453 -0.607605055660377 -0.342882735679245 -0.0765673745459119 -0.526264729056604 -0.523241430628931 -0.421894496666667 -0.32868714172956
2 "LAYING" -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.975110196458333 -0.975121387916667 -0.985374114791667 -0.984568489166667 -0.972112972708333 -0.96109837875 -0.990248702291667 -0.989492660416667 0.0519896845944444 -0.979523386805556 0.296539093611111 -0.977152241597222 0.0310164635540972 -0.985828908125 0.00486847159027778 -0.976957800763889 -0.0693371513 -0.990279736111111 -0.980302306527778 -0.979687924236111 -0.984926338611111 -0.987194339097222 -0.977474888472222 -0.977981841527778
2 "SITTING" -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913043 -0.989594919565217 -0.96127374826087 -0.955575602173913 -0.983874698913043 -0.984124185869565 -0.971840596086956 -0.961385745217391 -0.989861950869565 -0.989632908913043 0.0507270285181159 -0.965784983478261 0.344524672435188 -0.963718302318841 0.0305191197161594 -0.984519340434783 -0.0213905318434783 -0.974821754492754 -0.0595927136152174 -0.988713654492754 -0.97110317057971 -0.964766236086957 -0.98337251557971 -0.986278046666667 -0.974845711884058 -0.975895783333333
2 "STANDING" -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.964052166481482 -0.960519381481482 -0.977065295555556 -0.97516046 -0.961775904814815 -0.956788725740741 -0.977849827407407 -0.977754298148148 0.0511940363833333 -0.964772909938272 0.218871010407407 -0.968935772592593 0.0255721495904938 -0.978328867222222 -0.00602229192746914 -0.969765776049383 -0.0674860197895062 -0.978793792530864 -0.968763210987654 -0.964466298518519 -0.977199910555556 -0.980376023333333 -0.966746987037037 -0.97192615691358
2 "WALKING" -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.324289427932203 -0.577105211694915 -0.169064352813559 -0.164091969449153 -0.530704814745763 -0.651792839661017 -0.583249293389831 -0.558104554745763 0.0507771028533333 -0.308997205567232 0.217045776836158 -0.972294309548023 0.0293175582076271 -0.293407705962712 -0.00614346136920904 -0.527029819548023 -0.0624024011683616 -0.486394314971751 -0.27391978039322 -0.36069773879096 -0.31277870540113 -0.31518140129661 -0.460381851920904 -0.565652202259887
